normalized_term,source_types,source_storefronts,source_platforms,source_record_counts,source_sweep_status,kickstart_rows,kickstart_current_ranks,kickstart_rank_trends,kickstart_difficulty_scores,kickstart_entry_barrier_scores,kickstart_evidence_window,apple_ads_query_countries,apple_ads_monthly_window,apple_ads_monthly_coverage,apple_ads_monthly_max_popularity_1to100,apple_ads_monthly_max_popularity_1to5,apple_ads_monthly_max_countries,apple_ads_monthly_max_genres,apple_ads_monthly_genres_reportable,apple_ads_monthly_reportable,apple_ads_weekly_window,apple_ads_weekly_coverage,apple_ads_weekly_max_popularity_1to100,apple_ads_weekly_max_popularity_1to5,apple_ads_weekly_max_countries,apple_ads_weekly_max_genres,apple_ads_weekly_genres_reportable,apple_ads_weekly_reportable,intent_fit_evidence,storefront_search_evidence,title_context,proposed_en_us_keyword_pack,proposed_pack_status,final_decision,rationale_caveat,evidence_date,source_artifacts
coffre fort hors ligne,FR_DE_GB_search_candidate,FR,iOS,FR_DE_GB_search_candidate=1,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,FR intent=privacy/offline/high; label=easy-demand-unknown,FR public supply=15; difficulty=1; barrier=0; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,localized-test-after-native-review,"relevant localized storage or card workflow candidate, but the machine-assisted phrasing needs native review and sparse supply is not demand. FR public supply=15; difficulty=1; barrier=0; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;europe/keyword-matrix.csv
credit,current_pending_en-US;Kickstart,US,iOS,current_pending_en-US=1;Kickstart=1,source-current-pending-en-US,US/iOS:43,US/iOS=unranked,US/iOS=no rank history,US/iOS=5/5,US/iOS=5/5,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=matched;GB=matched;IN=matched;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=matched,59,3,US,FINANCE,FINANCE,US=59/3/FINANCE#305;GB=51/3/FINANCE#392;IN=53/3/FINANCE#467;FR=52/3/FINANCE#275,2026-08-16..2026-08-22 UTC,US=matched;GB=matched;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=matched,54,3,US,FINANCE,FINANCE,US=54/3/FINANCE#302;GB=47/3/FINANCE#345;FR=46/3/FINANCE#273,Kickstart US/iOS: Broad or ambiguous single-term intent;source current pending en-US keyword field,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",in-proposed-pack,keyword-keep,"fits the proposed token pack and Holder’s supported card-storage story; missing popularity is not zero demand. Apple Ads monthly max 59/100, weekly max 54/100; unmatched cells remain below-reporting-coverage; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
credit card cvv storage,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:44,US/iOS=unranked,US/iOS=no rank history,US/iOS=5/5,US/iOS=5/5,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Payment-card credential storage intent; sensitive-field wording,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,conversion-copy,"useful benefit or feature language for screenshots, promotional text, or description rather than a primary discovery target. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
credit card organizer,US_search_candidate;IN_CA_AU_search_candidate,US;IN;CA;AU,iOS,US_search_candidate=1;IN_CA_AU_search_candidate=3,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,"AU intent=Relevant payment-card storage, with rewards, expense, and issuer spillover; label=Qualified easy;CA intent=Relevant payment-card storage, with rewards, expense, and issuer spillover; label=Qualified easy;IN intent=Relevant payment-card storage, with rewards, expense, and issuer spillover; label=Test;US search=core_job/high; role=direct",AU public supply=168; public_pos=unranked; difficulty=12; barrier=32; Holder=not ranked;CA public supply=169; public_pos=unranked; difficulty=14; barrier=32; Holder=not ranked;IN public supply=152; public_pos=unranked; difficulty=36; barrier=86; Holder=not ranked;US public supply=43; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,keyword-test,"plausible future discovery candidate with product fit, but current evidence is not enough to add it to the full 99-byte pack. US public supply=43; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,anglo-india/raw-query-matrix.csv;apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;us/query-matrix.json
credit card rewards,US_search_candidate,US,iOS,US_search_candidate=1,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,US search=intent_trap/low; role=adjacent,US public supply=45; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,reject,rewards optimization is not a supported Holder feature. US public supply=45; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;us/query-matrix.json
credit card scanner,Kickstart;US_search_candidate,US,iOS,Kickstart=1;US_search_candidate=1,not-source-current-pending,US/iOS:45,US/iOS=unranked,US/iOS=no rank history,US/iOS=4/5,US/iOS=5/5,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Card scanning intent; aligned with Holder's on-device scanner;US search=card_scanner/high; role=direct,US public supply=42; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,conversion-copy,"valid feature language, but card-scanner evidence is dominated by TCG, business-card, document, or identity-scanner intent. US public supply=42; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json;us/query-matrix.json
credit card vault,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:46,US/iOS=#21,US/iOS=#60->#21 (improved; 2026-08-01..2026-08-26),US/iOS=3/5,US/iOS=5/5,2026-08-01..2026-08-26,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Card-vault/storage intent; strong product fit,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,monitor,retain as a tracked signal without changing the proposed pack; rank or adjacent intent is informative but not a demand measure. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
credit debit card wallet,US_search_candidate,US,iOS,US_search_candidate=1,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,US search=core_job/high; role=direct,US public supply=45; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,keyword-test,"plausible future discovery candidate with product fit, but current evidence is not enough to add it to the full 99-byte pack. US public supply=45; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;us/query-matrix.json
creditcardkeeper,Kickstart,US;IN,iOS;macOS,Kickstart=3,not-source-current-pending,US/iOS:48;US/macOS:49;IN/iOS:47,US/iOS=#117;US/macOS=#2;IN/iOS=#1,US/iOS=#116->#117 (dropped; 2026-07-30..2026-08-26);US/macOS=#2->#2 (unchanged; 2026-07-30..2026-08-26);IN/iOS=#1->#1 (unchanged; 2026-07-30..2026-08-26),US/iOS=5/5;US/macOS=1/5;IN/iOS=1/5,US/iOS=5/5;US/macOS=1/5;IN/iOS=1/5,2026-07-30..2026-08-26,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart IN/iOS: Generic card-management intent;Kickstart US/iOS: Generic card-management intent;Kickstart US/macOS: Generic card-management intent,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,monitor,retain as a tracked signal without changing the proposed pack; rank or adjacent intent is informative but not a demand measure. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
cvv card vault,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:50,US/iOS=unranked,US/iOS=no rank history,US/iOS=4/5,US/iOS=4/5,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Payment-card credential storage intent; sensitive-field wording,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,conversion-copy,"useful benefit or feature language for screenshots, promotional text, or description rather than a primary discovery target. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
debit,current_pending_en-US;Kickstart,US,iOS,current_pending_en-US=1;Kickstart=1,source-current-pending-en-US,US/iOS:51,US/iOS=unranked,US/iOS=no rank history,US/iOS=5/5,US/iOS=5/5,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Broad or ambiguous single-term intent;source current pending en-US keyword field,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",in-proposed-pack,keyword-keep,fits the proposed token pack and Holder’s supported card-storage story; missing popularity is not zero demand. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
debit card organizer,US_search_candidate;IN_CA_AU_search_candidate,US;IN;CA;AU,iOS,US_search_candidate=1;IN_CA_AU_search_candidate=3,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,"AU intent=Relevant payment-card storage, with bank, POS, and issuer spillover; label=Qualified easy;CA intent=Relevant payment-card storage, with bank, POS, and issuer spillover; label=Qualified easy;IN intent=Relevant payment-card storage, with bank, POS, and issuer spillover; sparse supply; label=Easy, demand unknown;US search=core_job/high; role=direct",AU public supply=151; public_pos=unranked; difficulty=28; barrier=0; Holder=not ranked;CA public supply=157; public_pos=unranked; difficulty=30; barrier=30; Holder=not ranked;IN public supply=32; public_pos=unranked; difficulty=18; barrier=0; Holder=not ranked;US public supply=34; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,keyword-test,"plausible future discovery candidate with product fit, but current evidence is not enough to add it to the full 99-byte pack. US public supply=34; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,anglo-india/raw-query-matrix.csv;apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;us/query-matrix.json
digital card vault,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:52,US/iOS=unranked,US/iOS=no rank history,US/iOS=4/5,US/iOS=5/5,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Card-vault/storage intent; strong product fit,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,keyword-test,"plausible future discovery candidate with product fit, but current evidence is not enough to add it to the full 99-byte pack. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
digital wallet,US_search_candidate,US,iOS,US_search_candidate=1,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,US search=broad_category/medium; role=broad,US public supply=49; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,reject,"broad password-manager, finance, or wallet discovery is not Holder’s focused card-vault job. US public supply=49; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;us/query-matrix.json
encrypted card wallet,US_search_candidate,US,iOS,US_search_candidate=1,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,US search=privacy_offline/high; role=direct,US public supply=49; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,keyword-test,"plausible future discovery candidate with product fit, but current evidence is not enough to add it to the full 99-byte pack. US public supply=49; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;us/query-matrix.json
face id card vault,Kickstart;IN_CA_AU_search_candidate,US;IN;CA;AU,iOS,Kickstart=1;IN_CA_AU_search_candidate=3,not-source-current-pending,US/iOS:53,US/iOS=#145,US/iOS=#150->#145 (improved; 2026-08-01..2026-08-26),US/iOS=4/5,US/iOS=2/5,2026-08-01..2026-08-26,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,"AU intent=Feature fit, but identity-verification, photo-vault, and password-manager intent dominates; label=Conversion copy;CA intent=Feature fit, but identity-verification, photo-vault, and password-manager intent dominates; label=Defer;GB intent=secure/Face ID/low/mismatch; label=reject;IN intent=Feature fit, but identity, photo-vault, and password-manager intent dominates; label=Conversion copy;Kickstart US/iOS: Card/document-type storage intent; adjacent to core vault",AU public supply=177; public_pos=172; difficulty=44; barrier=52; Holder=#172;CA public supply=172; public_pos=unranked; difficulty=48; barrier=53; Holder=not ranked;GB public supply=178; difficulty=53; barrier=49; Holder=unranked;IN public supply=16; public_pos=unranked; difficulty=51; barrier=0; Holder=not ranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,conversion-copy,"useful benefit or feature language for screenshots, promotional text, or description rather than a primary discovery target. GB public supply=178; difficulty=53; barrier=49; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,anglo-india/raw-query-matrix.csv;apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;europe/keyword-matrix.csv;kickstart/holder_keywords.json
face id card wallet,US_search_candidate,US,iOS,US_search_candidate=1,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,US search=biometric_vault/high; role=direct,US public supply=50; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,conversion-copy,"useful benefit or feature language for screenshots, promotional text, or description rather than a primary discovery target. US public supply=50; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;us/query-matrix.json
faceid,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:54,US/iOS=unranked,US/iOS=no rank history,US/iOS=3/5,US/iOS=5/5,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Broad or ambiguous single-term intent,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,conversion-copy,"valid feature language, but card-scanner evidence is dominated by TCG, business-card, document, or identity-scanner intent. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
gift card storage,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:55,US/iOS=unranked,US/iOS=no rank history,US/iOS=4/5,US/iOS=5/5,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Card/document-type storage intent; adjacent to core vault,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,monitor,retain as a tracked signal without changing the proposed pack; rank or adjacent intent is informative but not a demand measure. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
gift card vault,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:56,US/iOS=unranked,US/iOS=no rank history,US/iOS=3/5,US/iOS=5/5,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Card/document-type storage intent; adjacent to core vault,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,monitor,retain as a tracked signal without changing the proposed pack; rank or adjacent intent is informative but not a demand measure. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
